"","BirthTerminationYear","Ibuprofen","Diclofenac","Naproxen","Indometacin","Etodolac","Piroxicam","Lornoxicam"
"1",1998,280,168,110,12,36,0,0
"2",1999,353,182,116,18,44,2,0
"3",2000,365,173,160,19,43,1,0
"4",2001,465,223,147,13,60,5,3
"5",2002,529,243,163,16,62,3,1
"6",2003,629,261,195,18,58,4,1
"7",2004,632,248,201,14,68,2,2
"8",2005,703,247,191,24,73,3,2
"9",2006,680,237,181,21,84,3,2
"10",2007,787,258,181,18,79,5,3
"11",2008,794,254,184,16,91,4,6
"12",2009,851,248,162,17,92,5,4
"13",2010,883,243,176,16,92,4,7
"14",2011,844,220,163,11,75,6,3
"15",2012,917,214,152,14,105,9,5
"16",2013,838,193,153,10,81,6,7
"17",2014,846,216,133,9,87,12,4
"18",2015,832,195,143,10,73,6,4
"19",2016,798,186,107,7,74,7,5
"20",2017,601,125,87,4,63,4,3
